state,population
AL,4833722
AK,735132
AZ,6626624
AR,2959373
CA,38332521
CO,5268367
CT,3596080
DE,925749
DC,646449
FL,19552860
GA,9992167
HI,1404054
ID,1612136
IL,12882135
IN,6570902
IA,3090416
KS,2893957
KY,4395295
LA,4625470
ME,1328302
MD,5928814
MA,6692824
MI,9895622
MN,5420380
MS,2991207
MO,6044171
MT,1015165
NE,1868516
NV,2790136
NH,1323459
NJ,8899339
NM,2085287
NY,19651127
NC,9848060
ND,723393
OH,11570808
OK,3850568
OR,3930065
PA,12773801
RI,1051511
SC,4774839
SD,844877
TN,6495978
TX,26448193
UT,2900872
VT,626630
VA,8260405
WA,6971406
WV,1854304
WI,5742713
WY,582658
PR,3615086
