FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-01-07 04:22:09,33.93911,67.709953,158275,7367,,,Afghanistan,406.5803883088673,4.654556942031275
,,,Albania,2022-01-07 04:22:09,41.1533,20.1683,213257,3228,,,Albania,7410.417680172353,1.5136666088334731
,,,Algeria,2022-01-07 04:22:09,28.0339,1.6596,220825,6318,,,Algeria,503.57981222932364,2.8610890977018
,,,Andorra,2022-01-07 04:22:09,42.5063,1.5218,25289,141,,,Andorra,32730.214197890386,0.5575546680374867
,,,Angola,2022-01-07 04:22:09,-11.2027,17.8739,87625,1799,,,Angola,266.6107390105868,2.053067047075606
,,,Antigua and Barbuda,2022-01-07 04:22:09,17.0608,-61.7964,4715,119,,,Antigua and Barbuda,4814.7618658606325,2.523860021208908
,,,Argentina,2022-01-07 04:22:09,-38.4161,-63.6167,6025303,117386,,,Argentina,13331.561928894374,1.9482173759560308
,,,Armenia,2022-01-07 04:22:09,40.0691,45.0382,345389,7993,,,Armenia,11655.8125345484,2.3142022473211363
,,Australian Capital Territory,Australia,2022-01-07 04:22:09,-35.4735,149.0124,9553,15,,,"Australian Capital Territory, Australia",2231.487970100444,0.15701873756934995
,,New South Wales,Australia,2022-01-07 04:22:09,-33.8688,151.2093,380550,700,,,"New South Wales, Australia",4687.730968218773,0.18394429115753513
,,Northern Territory,Australia,2022-01-07 04:22:09,-12.4634,130.8456,1642,1,,,"Northern Territory, Australia",668.5667752442997,0.06090133982947625
,,Queensland,Australia,2022-01-07 04:22:09,-27.4698,153.0251,57677,8,,,"Queensland, Australia",1127.4948685368,0.013870346932052639
,,South Australia,Australia,2022-01-07 04:22:09,-34.9285,138.6007,31520,10,,,"South Australia, Australia",1794.4776544264166,0.031725888324873094
,,Tasmania,Australia,2022-01-07 04:22:09,-42.8821,147.3272,5911,13,,,"Tasmania, Australia",1103.828197945845,0.21992894603282018
,,Victoria,Australia,2022-01-07 04:22:09,-37.8136,144.9631,274390,1565,,,"Victoria, Australia",4138.674791474985,0.5703560625387223
,,Western Australia,Australia,2022-01-07 04:22:09,-31.9505,115.8605,1215,9,,,"Western Australia, Australia",46.187181631566936,0.7407407407407407
,,,Austria,2022-01-07 04:22:09,47.5162,14.5501,1312939,13823,,,Austria,14577.844643808849,1.0528288062126268
,,,Azerbaijan,2022-01-07 04:22:09,40.1431,47.5769,619502,8422,,,Azerbaijan,6109.984293593908,1.359479065442888
,,,Bahamas,2022-01-07 04:22:09,25.025885,-78.035889,26701,717,,,Bahamas,6789.862885507365,2.6852926856672035
,,,Bahrain,2022-01-07 04:22:09,26.0275,50.55,287939,1395,,,Bahrain,16921.83102440492,0.48447761505041
,,,Bangladesh,2022-01-07 04:22:09,23.685,90.3563,1589947,28097,,,Bangladesh,965.4216750572197,1.7671658237664525
,,,Barbados,2022-01-07 04:22:09,13.1939,-59.5432,30597,264,,,Barbados,10647.212140403868,0.8628296891852142
,,,Belarus,2022-01-07 04:22:09,53.7098,27.9534,704907,5669,,,Belarus,7459.869338759896,0.8042195637154972
,,Antwerp,Belgium,2022-01-07 04:22:09,51.2195,4.4024,316822,0,,,"Antwerp, Belgium",17051.904589162674,0.0
,,Brussels,Belgium,2022-01-07 04:22:09,50.8503,4.3517,266550,0,,,"Brussels, Belgium",22055.501587863724,0.0
,,East Flanders,Belgium,2022-01-07 04:22:09,51.0362,3.7373,273701,0,,,"East Flanders, Belgium",18065.309452273967,0.0
,,Flemish Brabant,Belgium,2022-01-07 04:22:09,50.9167,4.5833,196691,0,,,"Flemish Brabant, Belgium",17160.64300826663,0.0
,,Hainaut,Belgium,2022-01-07 04:22:09,50.5257,4.0621,263327,0,,,"Hainaut, Belgium",19589.270078802838,0.0
,,Liege,Belgium,2022-01-07 04:22:09,50.4496,5.8492,235485,0,,,"Liege, Belgium",21272.511454463987,0.0
,,Limburg,Belgium,2022-01-07 04:22:09,50.9739,5.3420000000000005,145222,0,,,"Limburg, Belgium",16614.876986160943,0.0
