FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-01-06 04:22:09,33.93911,67.709953,158245,7367,,,Afghanistan,406.5033236325175,4.65543935037442
,,,Albania,2022-01-06 04:22:09,41.1533,20.1683,212021,3224,,,Albania,7367.468204878727,1.5206040911041832
,,,Algeria,2022-01-06 04:22:09,28.0339,1.6596,220415,6310,,,Algeria,502.6448287672428,2.862781571127192
,,,Andorra,2022-01-06 04:22:09,42.5063,1.5218,25289,141,,,Andorra,32730.214197890386,0.5575546680374867
,,,Angola,2022-01-06 04:22:09,-11.2027,17.8739,86636,1789,,,Angola,263.60157472092664,2.0649614478969482
,,,Antigua and Barbuda,2022-01-06 04:22:09,17.0608,-61.7964,4486,119,,,Antigua and Barbuda,4580.916591781717,2.652697280427998
,,,Argentina,2022-01-06 04:22:09,-38.4161,-63.6167,5915695,117346,,,Argentina,13089.043695387734,1.9836384397775748
,,,Armenia,2022-01-06 04:22:09,40.0691,45.0382,345255,7989,,,Armenia,11651.29044820625,2.3139418690533082
,,Australian Capital Territory,Australia,2022-01-06 04:22:09,-35.4735,149.0124,8021,15,,,"Australian Capital Territory, Australia",1873.6276570894647,0.18700910110958732
,,New South Wales,Australia,2022-01-06 04:22:09,-33.8688,151.2093,342133,689,,,"New South Wales, Australia",4214.49864498645,0.20138367243148134
,,Northern Territory,Australia,2022-01-06 04:22:09,-12.4634,130.8456,985,1,,,"Northern Territory, Australia",504.071661237785,0.10152284263959391
,,Queensland,Australia,2022-01-06 04:22:09,-27.4698,153.0251,46731,8,,,"Queensland, Australia",913.5177402013487,0.017119257024245146
,,South Australia,Australia,2022-01-06 04:22:09,-34.9285,138.6007,27815,8,,,"South Australia, Australia",1583.5468260745804,0.028761459644076937
,,Tasmania,Australia,2022-01-06 04:22:09,-42.8821,147.3272,4422,13,,,"Tasmania, Australia",825.7703081232492,0.2939846223428313
,,Victoria,Australia,2022-01-06 04:22:09,-37.8136,144.9631,252916,1559,,,"Victoria, Australia",3814.778503446507,0.6164101915260403
,,Western Australia,Australia,2022-01-06 04:22:09,-31.9505,115.8605,1206,9,,,"Western Australia, Australia",45.845054360221994,0.746268656716418
,,,Austria,2022-01-06 04:22:09,47.5162,14.5501,1304086,13802,,,Austria,14479.5478770652,1.0583657826247654
,,,Azerbaijan,2022-01-06 04:22:09,40.1431,47.5769,618918,8409,,,Azerbaijan,6104.224456131786,1.3586614058728297
,,,Bahamas,2022-01-06 04:22:09,25.025885,-78.035889,26326,717,,,Bahamas,6694.5032142566515,2.7235432652130975
,,,Bahrain,2022-01-06 04:22:09,26.0275,50.55,286529,1395,,,Bahrain,16838.967008955777,0.4868617138230336
,,,Bangladesh,2022-01-06 04:22:09,23.685,90.3563,1588807,28090,,,Bangladesh,964.7294628579672,1.767993217552541
,,,Barbados,2022-01-06 04:22:09,13.1939,-59.5432,30177,263,,,Barbados,10501.059605875333,0.8715246711071346
,,,Belarus,2022-01-06 04:22:09,53.7098,27.9534,703507,5653,,,Belarus,7445.053459396711,0.8035456647908266
,,Antwerp,Belgium,2022-01-06 04:22:09,51.2195,4.4024,313209,0,,,"Antwerp, Belgium",16857.446719189487,0.0
,,Brussels,Belgium,2022-01-06 04:22:09,50.8503,4.3517,262001,0,,,"Brussels, Belgium",21679.097623417307,0.0
,,East Flanders,Belgium,2022-01-06 04:22:09,51.0362,3.7373,270225,0,,,"East Flanders, Belgium",17835.880200440377,0.0
,,Flemish Brabant,Belgium,2022-01-06 04:22:09,50.9167,4.5833,193642,0,,,"Flemish Brabant, Belgium",16894.6277837154,0.0
,,Hainaut,Belgium,2022-01-06 04:22:09,50.5257,4.0621,260210,0,,,"Hainaut, Belgium",19357.39201527107,0.0
,,Liege,Belgium,2022-01-06 04:22:09,50.4496,5.8492,232870,0,,,"Liege, Belgium",21036.28571841531,0.0
,,Limburg,Belgium,2022-01-06 04:22:09,50.9739,5.3420000000000005,143693,0,,,"Limburg, Belgium",16439.9438017134,0.0
,,Luxembourg,Belgium,2022-01-06 04:22:09,50.0547,5.4677,57493,0,,,"Luxembourg, Belgium",20198.638270364463,0.0
,,Namur,Belgium,2022-01-06 04:22:09,50.331,4.8221,102977,0,,,"Namur, Belgium",20831.841399888734,0.0
,,Unknown,Belgium,2022-01-06 04:22:09,,,36318,28429,,,"Unknown, Belgium",,78.27798887603943
,,Walloon Brabant,Belgium,2022-01-06 04:22:09,50.4,4.35,84435,0,,,"Walloon Brabant, Belgium",20920.517642511502,0.0
,,West Flanders,Belgium,2022-01-06 04:22:09,51.0536,3.1458,222637,0,,,"West Flanders, Belgium",18618.309477536302,0.0
,,,Belize,2022-01-06 04:22:09,17.1899,-88.4976,34628,605,,,Belize,8708.795561602632,1.747141041931385
,,,Benin,2022-01-06 04:22:09,9.3077,2.3158,25522,161,,,Benin,210.52200912663474,0.6308283049917718
,,,Bhutan,2022-01-06 04:22:09,27.5142,90.4336,2669,3,,,Bhutan,345.89923433020743,0.11240164855751218
,,,Bolivia,2022-01-06 04:22:09,-16.2902,-63.5887,631554,19810,,,Bolivia,5410.369493642139,3.1367072332690475
,,,Bosnia and Herzegovina,2022-01-06 04:22:09,43.9159,17.6791,295240,13547,,,Bosnia and Herzegovina,8998.983484286679,4.588470396965181
,,,Botswana,2022-01-06 04:22:09,-22.3285,24.6849,222053,2452,,,Botswana,9442.534417689896,1.1042408794296856
,,Acre,Brazil,2022-01-06 04:22:09,-9.0238,-70.812,88395,1852,,,"Acre, Brazil",10022.84748876051,2.095141127891849
,,Alagoas,Brazil,2022-01-06 04:22:09,-9.5713,-36.782,242165,6383,,,"Alagoas, Brazil",7256.191051781395,2.63580616521793
